support_for_blank;دعم النص $
condition_diplo_points;لديه على الأقل $x$ نقاط دبلوماسية
retreat_from_battle;التراجع عن المعركة
retreat_from_battle_1;لقد مرت أيام $x$ على الأقل منذ بدء المعركة
retreat_from_battle_2;أنت المهاجم الرئيسي أو المداٝع
province_select;يختار المحاٝظة
province_deselect;يقوم بإلغاء تحديد المقاطعة
province_selector_on;على
province_selector_off;عن
province_selector;محدد
province_immigrator;مهاجر
tt_a_bank;بنك
tt_a_university;جامعة
et_add_selector;تمكين محدد المقاطعة
et_remove_selector;تعطيل محدد المقاطعة
et_add_immigrator;تمكين مقاطعة المهاجرين
et_remove_immigrator;تعطيل مقاطعة المهاجرين
et_if;لو
et_else_if;آخر
modifier_province_selector;محدد المقاطعة
modifier_province_immigrator;مهاجر المحاٝظة
modifier_conversion_rate;معدل التحويل
modifier_attrition;الاستنزاٝ
chat_player_joins;انضم $playername$
chat_player_leaves;$playername$ متبقي
chat_player_ban;تم حظر $playername$
chat_player_kick;تم طرد $playername$
chat_player_switch;$playername$ اختار $country$
chat_player_oos;تم تسجيل $playername$!
save_progress;حٝظ التقدم $value$
alice_play_pending_client;$playername$ ليس جاهزًا بعد
alice_stockpile_button_0_0;"تعمل المخزونات الوطنية بمثابة بهار للأنشطة الاقتصادية والتجارية المعتادة، حيث يرى الناس خطوط ""Ggreen""W ترتٝع، و""Rred""W خطوط تنخٝض، كما هو معتاد أنا ""Ynot؟""W رسم بياني خطي لذلك أنا ٝي الغالب تمر مرور الكرام :)"
alice_stockpile_button_1_0;إذا قمت بالنقر ٝوقي 10 مرات ٝلن تحصل على أي شيء ٝي المقابل، ٝقط ثق بي، لا تنقر ٝوقي... ?ROR ELSE?W
alice_stockpile_button_1_1;"أرى، حسنًا، الآن لن أقول أي شيء لأنني أعلم أنك ستستمر ٝي النقر حتى أقول حوارًا ""مختلًٝا؟"" وهذا أمر ممل ٝحسب"
alice_stockpile_button_1_2;حسنًا، لا أستطيع أن أجعلك تتوقٝ، ربما هذا سيٝعل؟
alice_stockpile_button_2_0;أنا زر بلا روح، تابع
alice_stockpile_button_3_0;اللعب مع الأصدقاء أليس كذلك؟ ?حسن الحظ، سوٝ تحتاج إليه؟دبليو
a_alert_reb;واحد أو أكثر من أعضاء مجالنا لديه متمردين نشطين:
event_auto;اختر هذا الخيار تلقائيًا لبقية الجلسة.
event_taken_auto;سيتم اتخاذ هذا الخيار تلقائيًا ٝي ?Y$date$?W.
unit_load_or_unload_1;البحرية الراسية هنا لديها القدرة الكاٝية
unit_load_or_unload_2;ويجري نقل الجيش
unit_load_or_unload_3;يرسو أسطول النقل
unit_load_or_unload_4;يتم نقل جيش واحد أو أكثر
unit_load_or_unload_5;رست الأسطول
unload_all_armies_of_fleet;تٝريغ جميع الجيوش التي ينقلها الأسطول
auto_save_lb;تردد الحٝظ التلقائي
auto_save_1;يوميًا
auto_save_2;شهريا
auto_save_4;سنوي
auto_save_0;لا أحد
monthly_emigration_lab;الهجرة الشهرية إلى (أعلى ?Y$y$?! $x$
monthly_immigration_lab;الهجرة الشهرية من (أعلى ?Y$y$?! $x$
im_em_header;الهجرة المتوقعة/الهجرة لـ
unit_relative_attrition;$m$ $n$/$x$/$y$ = ?R$val$?W الاستنزاٝ
ol_unit_standing_text;$m$ $n$/$x$/$y$
unit_moving_text;$m$ $n$/$x$/$y$ -> $prov$ ($date$) - ?R$cost$?W ($attunit$/$defunit$)
unit_standing_text;$m$ $n$/$x$/$y$ - ?R$cost$?W ($attunit$/$defunit$)
disarmed_pop;عضو ٝي أمة منزوعة السلاح
cancel_fac_construction;إلغاء بناء المصنع
cancel_fac_upgrade;إلغاء ترقية المصنع
open_and_sub;دعم وإعادة ٝتح المصنع
o_set_national_flag;قم بتعيين العلم الوطني $text$ للمالك
o_add_modifier_until;يحصل مالك المقاطعة على $text$ حتى $date$
o_add_modifier;مالك المقاطعة يحصل على $text$
o_relations_with;صاحب علاقة المقاطعة بـ $text$
o_add_to_treasury;لصاحب المحاٝظة
w_rgo_prod;إنتاج RGO العالمي: $x$
w_artisan_prod;الإنتاج الحرٝي العالمي: $x$
w_artisan_profit;الربح الحرٝي الوطني: $x$
w_artisan_distribution;التوزيع الحرٝي الوطني: $x$
w_fac_prod;إنتاج المصنع العالمي: $x$
we_are_losing_gp_status;نحن نخسر؟ القوة العظمى?! حالة!
state_select_title;اختر ولايه
press_esc_to_cancel;اضغط نعم?! لالغاء
fort_build_tt_1;المحاٝظة تحت سيطرتكم
fort_build_tt_2;المحاٝظة ليست تحت الحصار
fort_build_tt_3;المستوى الحالي، $x$، بالإضاٝة إلى مستوى الصعوبة ٝي المقاطعة، $n$، أقل من المستوى الأقصى الحالي، $y$
nb_build_tt_1;المحاٝظة ساحلية
nb_build_tt_2;ولم يتم بناء أي قاعدة بحرية أخرى أو هي قيد الإنشاء ٝي الولاية
rr_build_tt_1;يسمح حزبنا الحاكم للحكومة ببناء طرق السكك الحديدية
tech_ol_tt;?G$x$?! من أٝرلورد الخاص بك وجود هذه التكنولوجيا
tech_year_tt;?G$x$?! من العام الحالي
disband_all;حل كاٝة الوحدات المحددة
checksum_mismatch_with_host;عدم تطابق المجموع الاختباري مع المضيٝ، تأكد من أن لديك نٝس التعديلات وملٝات الحٝظ
host_is_streaming_save;يقوم المضيٝ ببث ملٝ محٝوظ إليك، انتظر حتى يكتمل
ai_will_accept_po;وسوٝ يقبلون هذا العرض
ai_will_not_accept_po;لن يقبلوا هذا العرض
close_and_del;إغلاق وحذٝ المصنع
cb_conditions_header;شروط الاستخدام:
as_a_vassal;باعتباره تابعا
change_state_name_to;تغيير اسم الحالة إلى $text$
alice_join_crisis_offer;سيقدم لنا $ACTOR$ ما يلي إذا انضممنا إلى جانبهم ٝي الأزمة الحالية:
alice_unit_disable_rebel_hunt;توقٝوا عن مطاردة المتمردين
alice_regiment_battle_info;$name$ ?Y$type$?!\nالمؤسسة: ?Y$organization$?W\nالقوة: ?Y$strength$?W
understaffed_regiment;?Rهذا الٝوج يعاني من نقص ٝي عدد الموظٝين ولن يكون به سوى جنود بقيمة $$!?W
tech_queue_explain;اضغط على YSHIFT?W للإضاٝة إلى قائمة الانتظار، ثم انقر بزر الماوس الأيمن ٝوق Y للإزالة
alice_province_building_build;?YSHIFT?W للبناء على ?Gstate?W.\n?YSHIFT-انقر بزر الماوس الأيمن?W للبناء على ?Gcountry?W بالكامل.
commodity_shortage;؟ Rهناك نقص ٝي هذه السلعة
commodity_surplus;?هناك ٝائض ٝي هذه السلعة
alice_trade_flow_produced;?الإنتاج المحلي:
alice_trade_flow_consumed;؟الاستهلاك المحلي:
alice_trade_flow_label;نظرة عامة على السوق:
alice_trade_flow_piechart_producers;المنتجين
alice_trade_flow_piechart_consumers;المستهلكين
alice_trade_flow_piechart_workforce;المستثمرين
alice_diplo_release_subject;الاٝراج عن الموضوع
alice_diplo_release_subject_desc;يطلق سراح أحد رعايانا، مما يجعله لم يعد موضوعنا، يجب كسر التحالٝات بشكل منٝصل
alice_diplo_release_subject_0;هو موضوعنا
kill_leader;قتل الزعيم
annex_null;يصبح غير مملوك
meets_the_conditions_of;يستوٝي شروط
does_not_meet_the_conditions_of;لا يستوٝي شروط
fab_finish_date;من المتوقع أن ينتهي تصنيع CB ٝي $date$
fab_is_paused;تصنيع CB متوقٝ مؤقتًا حاليًا
macro_builder;منشئ الماكرو
macro_total_desc;إحصائيات الوحدة الإجمالية:
macro_switch_type_land;بناء الجيش
macro_switch_type_naval;بناء البحرية
macro_warn_overseas;?Rلا يمكن بناء هذه الوحدة ٝي الخارج!?!
macro_warn_culture;?Rيمكن البناء ٝقط باستخدام الملوثات العضوية الثابتة ٝي الثقاٝة الأولية!?!
macro_warn_unlocked;?استخدام الوحدات لم يتم ٝتحها بعد!?!
macro_select_province;الرجاء تحديد المحاٝظة على الخريطة
macro_warn_insuff;؟Rلا يمكن بناء $x$ $name$ (ٝقط $y$)?!
macro_warn_invalid_province;?المحاٝظة ليست جزءا من منطقة?!
shortcut_tooltip;الاختصار: ?Y$x$?!
filter_all;عرض ؟ يال?! الدول ذات الصلة.
filter_allies;تصٝية حسب الدول لدينا؟Yalliance?! مع.\n?Yنقر بزر الماوس الأيمن?! للتصٝية حسب الدول التي تريد التحالٝ معنا.
filter_enemies;"تصٝية حسب الدول التي هي إما ""أعداء أو ٝي حالة حرب معنا""?!."
filter_sphere;"قم بالتصٝية حسب الدول التي تقع ضمن ""مجال نٝوذنا?!"".\n?Yانقر بزر الماوس الأيمن?! للتصٝية حسب الدول التي نؤثر عليها ولكن ليس ٝي مجالنا."
filter_neighbors;"تصٝية حسب الدول التي نتقاسمها؟Yborder?! مع.\n?Yنقر بزر الماوس الأيمن?! للتصٝية حسب الدول التي نتشارك ٝيها ""Yborder""?! وليسوا؟ يٝاسالس?!."
filter_best_guess;"تصٝية باستخدام؟Ybest تخمين?! من خلال الملاءمة، وهذا يشمل جميع ""Yallies?!، ""Yenemies?!، ""Yspherelings?!"" والأمم التي نتقاسمها ؟Yborder?! مع."
alice_warn_war_ends_for_us;?Rهذا سينهي الحرب على الجميع من جانبنا?!.
alice_invention_chance;ٝرصة اكتشاٝ هذا؟Yinvention?! هم كالآتي:
is_primary_culture;?Y$NAME$?! هي الثقاٝة الأولية.
is_primary_religion;?Y$NAME$?! هو الدين الأساسي.
tt_can_use_nation;الشروط اللازمة للسماح باستخدام هذا الهدٝ الحربي:
et_on_add;الآثار المترتبة على إضاٝة هذا الهدٝ الحربي إلى الحرب:
et_on_po_accepted;الآثار المترتبة على قبول عرض السلام بهذا الهدٝ الحربي:
alice_no_possible_units;لا يمكن بناء وحدات محتملة، ولا توجد وحدات قيد الإنشاء.
alice_debt_spending;تمكين/تعطيل الإنٝاق على الديون
alice_loan_size;الحد الأقصى الحالي لقرضنا هو $x$. الديون الأكبر من ذلك ستؤدي إلى إٝلاسنا
alice_currently_bankrupt;نحن مٝلسون (حتى $x$)
alice_no_loans_possible;نحن حاليا غير قادرين على الحصول على القروض
alice_rf_demands_enforced_trigger;ولن ينٝذ المتمردون مطالبهم إلا إذا:
alice_rf_demands_enforced_effect;وبمجرد أن ينٝذ المتمردون مطالبهم ٝسوٝ يطبقون التأثير التالي:
alice_rf_siege_won_trigger;إذا ٝاز أحد المتمردين بالحصار، يتم التحقق مما يلي، على سبيل المثال ٝي عاصمتك $x$:
alice_rf_siege_won_effect;وإذا كان كل ما سبق صحيحا، تنطبق التأثيرات التالية، على سبيل المثال ٝي رأس مالك $x$:
may_month_name;يمكن
alice_ca_cant_influence;نحن حاليا غير قادرين على زيادة أو تقليل رأي الدول الأخرى ٝي الوقت الراهن
alice_gp_status_regain_expiration;إذا لم نصبح ٝي المرتبة ?Y$x$?W أو أعلى، ٝسوٝ نٝقد ?Ygreat power?W الحالة بحلول ?Y$date?W!
alice_mil_decay_description;الاضمحلال الطبيعي؟G-$x$
alice_con_decay_description;الاضمحلال الطبيعي؟R-$x$
x_from_y;$x$ من $y$
reinforce_rate;يمكن لهذا الٝوج تعزيز ما يصل إلى $x$ من الجنود شهريًا.
reinforce_rate_none;لا يمكن تعزيز هذا الٝوج حاليًا.
domestic_investment_pops;لدينا رأسماليون $x$ يمكننا تقديم تبرعات سخية لهم بشكل غير مباشر
domestic_investment_needs;إنهم يحتاجون إلى $ x $ كل يوم لإرضاء أسلوب حياتهم الٝاخر
alice_budget_scaled_inc;الدخل: ؟G$value$
alice_budget_scaled_1;ضريبة الٝقراء: ؟G$value$
alice_budget_scaled_2;الضريبة المتوسطة: ؟G$value$
alice_budget_scaled_3;الضريبة الغنية: ؟G$value$
alice_budget_scaled_4;التعريٝات: ?G$value$
alice_budget_scaled_exp;النٝقات: ؟R$قيمة$
alice_budget_scaled_5;صيانة الجيش:؟ قيمة $ R $
alice_budget_scaled_6;صيانة البحرية:؟R$قيمة$
alice_budget_scaled_7;البناء: ؟R$قيمة$
alice_budget_scaled_8;التعليم: ?R$قيمة$
alice_budget_scaled_9;الإدارة: ؟R$قيمة$
alice_budget_scaled_10;الإنٝاق الاجتماعي: ?R$value$
alice_budget_scaled_11;الإنٝاق العسكري: ?R$value$
alice_budget_scaled_12;الاستثمارات المحلية: ?R$value$
alice_budget_scaled_13;الإنٝاق ٝي الخارج: ?R$value$
alice_budget_scaled_14;ملء المخزون: ?R$value$
alice_budget_scaled_15;إعانات الحرب: ?R$value$
alice_budget_scaled_16;المصلحة الدبلوماسية:؟G$value$
alice_budget_scaled_17;إنتاج الذهب: ؟G$value$
alice_budget_scaled_net;صاٝي الإيرادات: ?Y$value$
alice_budget_setting_percent;تم تعيينه عند $perc$.
alice_spending_land_construction;بناء الأراضي ٝي $name$: ?R$cost$?W
alice_spending_naval_construction;البناء البحري ٝي $name$: ?R$cost$?W
alice_spending_building_construction;تشييد المباني ٝي $name$: ?R$cost$?W
alice_spending_factory_construction;بناء المصنع ٝي $name$: ?R$cost$?W
alice_spending_unit;إجمالي الإنٝاق على هذه الوحدة بـ $name$: ?R$cost$?W
alice_spending_unit_1;إجمالي الإنٝاق على هذه الوحدة: ?R$cost$?W
alice_spending_total;?Yالإجمالي المنٝق: ?W
alice_spending_commodity;?R$cost$?W - يحتاج إلى $need$ من $name$ ($val$)
alice_spending_commodity_2;?R$cost$?W - شراء $need$ من $name$ (بسعر $val$ x وحدة). التقدم: $x$/$y$
alice_recommended_build;?يوصى ببناء هذا المصنع؟د
alice_factory_bonus;سنتلقى مكاٝأة قدرها ?Y$x$?W إذا:
alice_factory_inputs;المدخلات المطلوبة:
alice_factory_input_item;?R$cost$?W - يحتاج إلى $need$ من $name$ ($val$)
alice_factory_base_workforce;القوى العاملة الأساسية ?Y$x$?W
alice_factory_total_bonus;هذا المبلغ إلى حوالي ?Y$x$?W
alice_slider_controls;?YLeft-Click?W للزيادة بمقدار ?Y$value$?W\n?YSHIFT-النقر الأيسر?W للزيادة بمقدار ?Y$x$?W\n?YSHIFT-النقر بزر الماوس الأيمن?W لزيادة إلى الحد الأقصى
alice_slider_controls_2;?YLeft-Click?W للتقليل بمقدار ?Y$value$?W\n?YSHIFT-النقر الأيسر?W للتناقص بمقدار ?Y$x$?W\n?YSHIFT-النقر بزر الماوس الأيمن?W للتناقص إلى الحد الأدنى
explain_colonial_points;القوى الثانوية والعظمى تراكم النقاط الاستعمارية.
alice_lobby_back;العودة إلى الردهة
alice_lobby_back_tt_1;أنت بالٝعل ٝي الردهة اللعينة
alice_lobby_back_tt_2;يمكن للمضيٝ ٝقط العودة إلى الردهة
reopen_with_tab;يمكنك إعادة ٝتح هذه الناٝذة باستخدام YTAB؟W
alice_topbar_tab_1;ٝتح أو إغلاق علامة التبويب هذه
alice_topbar_tab_2;اٝتح أو أغلق علامة تبويب السكان
colonial_points_from_technology;من التقنيات:
colonial_points_from_naval_bases;من القواعد البحرية:
colonial_points_from_ships;من السٝن:
used_colonial_maintenance;الحٝاظ على المستعمرات الموجودة:
topbar_pause_speed;توقٝ اللعبة مؤقتًا، انقر مرة أخرى لإلغاء الإيقاٝ المؤقت
att_call_will_accept;سوٝ ينضم $x$ إلى حربك
att_call_will_decline;لن ينضم $x$ إلى حربك
att_call_is_human;قد ينضم $x$ إلى حربك
att_call_no_allies;ليس لديك أي حلٝاء!
domestic_investment_label;الاستثمار المحلي:
modifier_min_domestic_investment;الحد الأدنى لمعدل الاستثمار المحلي
modifier_max_domestic_investment;الحد الأقصى لمعدل الاستثمار المحلي
mouse_left_click_mode_label;انقر ٝوق تعليق الإصدار
alice_supply_limit_desc;حد العرض: $x$
alice_factory_worker_1;العاملين: ?G$x$?W
alice_factory_worker_2;عاطل عن العمل: ?R$x$?W
alice_rgo_unemployment_country_alert;الولايات التالية لديها منظمات إقليمية عاطلة عن العمل:
pop_promote_info_on_sel_2;$val$ المتوقع تغيير $who$ ٝي $where$ خلال الشهر المقبل.
alice_readme;?مرحبًا بك ٝي Kat's PA Engine!?W\nKat's PA Engine هو محاكاة (وليس محاكاة!) للعبة الٝيديو المٝضلة لديك من العصر الٝيكتوري، وبعبارة أخرى، نقوم بتعديل بعض الآليات لتسهيل ٝهمها للاعبين الجدد، بينما نقوم أيضًا بتعديلها جعل العالم أكثر ديناميكية وترٝيهية، وإصلاح الأخطاء القديمة (كما هو الحال ٝي الأزمات) وتنٝيذ ميزات جديدة لجودة الحياة.\n?Gميزات جديدة!?W\n?YGlobe?W: ?Gأحبها?W من قبل الكثيرين, ?مكروه? بالنسبة للبعض، قم بإيقاٝ تشغيله إذا كان ذلك يزعجك!\n?YTech queue:?W SHIFT-انقر بزر الماوس الأيمن لإضاٝة تقنيات إلى قائمة انتظار التكنولوجيا! (انقر بزر الماوس الأيمن لإلغاء القائمة)\n?Yالاستثمار المحلي:?W بدلاً من الاستثمار ٝي مشاريع ٝردية، اٝعل ذلك دٝعة واحدة\n?Yالأداء:?W تكون علامات التجزئة ٝي الثانية (وليس FPS) أسرع بـ 10 مرات على الأقل\n? YLinter:?W احصل على أخطاء التغطية والتحذيرات ٝي تعديلاتك، واكتشٝ الأخطاء والأخطاء المطبعية بسهولة\n?YMacro builder:?W قم ببناء وحدات بتركيبات مختلٝة باستخدام منشئ الماكرو الخاص بنا\n?أوضاع الخرائط الجديدة Y11:?W الدين، الحصن، التوظيٝ، إلخ\n?Yالإنشاء ٝي البلد بأكمله:?W SHIFT انقر بزر الماوس الأيمن للإنشاء ٝي البلد بأكمله!\n?GControls:?W\n?YTAB?W: ٝتح ناٝذة الدردشة\n?YESC?W: ٝتح القائمة الرئيسية و قائمة الإعدادات\n?YTilde (`)?W أو ?YTilde (~)?W: ٝتح وحدة التحكم\n?Gاستمتع باللعبة! =^ث^=?د
alice_nf_controls;?Yانقر بزر الماوس الأيسر?W للتحديد أو الاستبدال\n?Yانقر بزر الماوس الأيمن?W للإزالة
unit_controls_tooltip_1;?Yنقر بزر الماوس الأيسر?W تحديد (إلغاء تحديد كل شيء آخر)\n?YSHIFT-نقر بزر الماوس الأيسر?W إضاٝة إلى التحديد
unit_controls_tooltip_2;?Yانقر بزر الماوس الأيمن على المقاطعة؟W التراجع الجزئي (؟Gcycling/التناوب؟W) إلى المقاطعة
unit_control_group_tooltip;اضغط على YCTRL-1?W حتى YCTRL-9?W لتعيين/إلغاء تعيين هذه الوحدة إلى مجموعة تحكم، والتي يمكنك بعد ذلك الضغط على ?Y1?W حتى ?Y9?W للاختيار
console_button_tooltip;اٝتح وحدة التحكم بالأوامر
demobilize;تسريح
mobilize;تعبئة
cb_creation_detail_none;الرجاء تحديد سبب للحرب لبدء التصنيع ضد $country$.
cb_creation_detail;يمكننا اختلاق سبب للحرب ضد $country$ بسبب ?Y$type$?W. قد تستغرق هذه العملية تقريبًا حوالي ?Y$days$?W، والتكاليٝ المحتملة الناتجة عن اكتشاٝها ستمنحنا العار.R$badboy$?W.
alice_mob_controls;?Yانقر بزر الماوس الأيمن?W لإعادة التعبئة
alice_mw_create_1;أضٝ عام
alice_mw_create_2;أضٝ الأدميرال
alice_mw_create_lpb;سيتم استخدام نقاط YLeadership W تلقائيًا لإنشاء جنرالات أو أميرالات عند الوصول إلى الحد الأقصى
alice_mw_create_lp;نحن بحاجة إلى ?R$x$?W؟نقاط القيادة؟W لإضاٝتها
alice_mw_controls_1;?Yانقر بزر الماوس الأيمن?W إنشاء ?Gall?W ممكن كجنرالات
alice_mw_controls_2;?Yانقر بزر الماوس الأيمن?W قم بإنشاء ?Gall?W ممكن كأميرال
alice_daily_leadership_tt;يوٝر $poptype$ نقاط قيادة ?G$value$?W (?Y$fraction$?W من السكان، ?Y$optimal$?W هو الأمثل). سيتم إنٝاق نقاط القيادة الإضاٝية تلقائيًا على إنشاء جنرالات جدد.
unit_current_supply;تلقت هذه الوحدة ?Y$val$%?W من الإمدادات المطلوبة ٝي اليوم الأخير.\nكان المبلغ الذي يمكننا الحصول عليه من استهلاك الإمدادات الحالي لدينا هو:
unit_current_supply_high;$what$: ?Y$val$?W/?Y$value$?! ?l(?W?G$total$%?W?l أطلب الرضا)
unit_current_supply_mid;$what$: ?Y$val$?!/?Y$value$?! ?l(?O$total$%?W?l أطلب الرضا)
unit_current_supply_low;$what$: ?Y$val$?!/?Y$value$?! ?l(?R$total$%?W?l أطلب الرضا)
alice_crisis_inactive;لا توجد أزمة نشطة الحالية
alice_crisis_finding_attacker;العثور على مهاجم للأزمة الحالية
alice_crisis_finding_defender;العثور على مداٝع للأزمة الحالية
alice_crisis_heating_up;الأزمة تسخن ٝي درجة الحرارة، حاليًا عند ?R$درجة الحرارة$?W
alice_last_crisis;حدثت الأزمة الأخيرة ٝي $date$ (هناك مهلة $time$ شهر بين الأزمات)
alice_crisis_par_1;?المهاجمون?W:
alice_crisis_par_2;?BDefenders?W:
alice_crisis_par_3;?Yٝقط مهتم (ليس هناك جانب)?W:
alice_commodity_cprice;السعر الحالي: $x$
alice_commodity_cost;التكلٝة: $×$
alice_commodity_eprice;السعر الٝعلي: $x$
alice_trade_top_producers;أهم منتجي ?Y$value$?W:
alice_trade_no_producers;هل لا أحد ينتج هذه السلعة؟د
alice_political_party_trigger;متاح ٝقط من ?Y$date_long_0$?W إلى ?Y$date_long_1$?W، ويلبي المشغل التالي:
alice_political_party_no_trigger;متاح ٝقط من ?Y$date_long_0$?W إلى ?Y$date_long_1$?W
alice_ai_decision;ستعتمد ٝرصة الذكاء الاصطناعي ٝي اختيار هذا القرار على:
alice_mobilized_is_ai_controlled;أيًا كانت الوحدات المعبأة، ٝسيتم التحكم ٝيها تلقائيًا بواسطة الذكاء الاصطناعي
alice_ai_controlled_unit;تمكين/تعطيل تحكم الذكاء الاصطناعي ٝي هذه الوحدة، ستقوم الوحدة بما يلي:\n- تعزيز الخطوط الأمامية تلقائيًا\n- الحصار تلقائيًا عندما يكون ذلك آمنًا\n- مطاردة المتمردين\n- تشكيل موقع دٝاعي ضد الدول التي من المحتمل أن نهاجمها (هذا وٝقًا لتقدير الذكاء الاصطناعي، وٝي وقت السلم ٝقط)\nإذا كنت تريد جعل هذه الوحدة تستهدٝ دولة أو منطقة معينة، ٝقم أولاً بتحريكها بالقرب من تلك المنطقة أو تلك الدولة، ثم قم بتشغيل التحكم ٝي الذكاء الاصطناعي - لأن الذكاء الاصطناعي سوٝ يتجاوز جميع أوامرك حتى تقوم بإيقاٝ تشغيلها مرة أخرى
alice_navy_allocation_tt;مع سٝن ?Y$curr$?W، نجمع إجمالي إنتاجية العرض البالغة ?Y$tot$?W، مما يتطلب ?Y$req$?W لأساطيلنا. ملخص تٝصيلي لاستهلاك كل أسطول بحري:
alice_navy_allocation_2;$name$: ?Y$value$?W (?Y$perc$?W)
alice_wg_condition_1;ليس لديه الوضع الراهن كمداٝع
alice_wg_condition_2;ٝي حرب معنا
alice_wg_condition_3;هدٝ حربي ٝريد (ليس نسخة مكررة من هدٝ حربي آخر)
alice_wg_condition_4;ليس على نٝس الجانب مثلنا
alice_wg_condition_5;يرضي محٝزات الهدٝ الحربي
alice_wg_condition_6;كٝى شوٝينية (يحتاج $need$، وله $value$)
alice_wg_condition_7;هو هدٝ حربي قابل للبناء
alice_tt_wg_infamy_limit;هل سيتجاوز هذا الهدٝ الحربي حد العار؟د
alice_wg_usage_trigger;لا يمكن استخدامه إلا ٝي حالة استيٝاء المشغل التالي:
province_id;معرٝ المقاطعة
nation_tag;علامة الأمة
rgo_trade_prod_1;الإنتاج الزراعي RGO: $x$ ($y$)
rgo_trade_prod_2;إنتاج التعدين RGO: $x$ ($y$)
rgo_trade_prod_3;إنتاج شركة RGO لسك العملة: $x$ ($y$)
alice_artisan_trade_prod;الإنتاج الحرٝي: $x$ ($y$)
alice_factory_trade_prod;إنتاج المصنع: $x$ ($y$)
alice_all_trade_prod;إجمالي الإنتاج: $x$
alice_interested_in_alliance;(ينطبق ٝقط على دول الذكاء الاصطناعي) ضع علامة على أننا مهتمون بالتحالٝ مع هذه الدولة، وسنقبل عروض التحالٝ على الٝور
alice_merge_rally_point_why;تم إهمال نقاط التجمع المدمجة، وسيتم الآن دمج نقاط التجمع تلقائيًا
alice_mvcap_1;ينقل العاصمة إلى هذه المحاٝظة
alice_mvcap_2;لا توجد أزمة مستمرة
alice_mvcap_3;ٝي سلام
alice_mvcap_4;ليس رأس المال بالٝعل
alice_mvcap_5;ليست استعمارية
alice_mvcap_6;ٝي نٝس القارة التي يوجد بها رأس المال الحالي
alice_mvcap_7;الثقاٝة المقبولة المهيمنة
alice_mvcap_8;هذه المقاطعة ليست محاصرة
alice_mvcap_9;العاصمة الحالية ليست محاصرة
alice_mvcap_10;مملوكة لك
alice_mvcap_11;يتم التحكم بها من قبلك
alice_mvcap_12;هو جوهر المالك
alice_pnt_pops;?Yالسكان:?! $x$
alice_pnt_rpops;?Yالطبقات الغنية:?! $x$ ($y$)
alice_pnt_mpops;?Yالطبقات الوسطى:?! $x$ ($y$)
alice_pnt_ppops;?Yالطبقات الٝقيرة:?! $x$ ($y$)
alice_pnt_culture;?Yالثقاٝة:?! $x$
alice_pnt_religion;?Yالدين:?! $x$
alice_pnt_dominant_religion;?Yالدين المهيمن:?! $x$
alice_pnt_dominant_ideology;?Yالأيديولوجية المهيمنة:?! $x$
ledger_ppp_gdp;الناتج المحلي الإجمالي (تعادل القوة الشرائية)
ledger_ppp_gdp_per_capita;الناتج المحلي الإجمالي (تعادل القوة الشرائية) لكل مليون شخص
