support_for_blank;поддержка $text$
uh_support_for_blank;верхнѝѝ палата поддерживает $text$
up_to;до
scaled_support; пропорционально поддержке $text$
scaled_unemployment; пропорционален безработице
stockpile_of;в национальный запаѝ $text$
create_general;Создан новый генерал
create_admiral;Создан новый адмирал
add_war_goal;Добавлена ​​цель войны $text$ против $nation$
blank_loyalty;$text$ лоѝльноѝть
in_blank;в $text$
no_effect;Нет ѝффекта
move_capital_to;Перемеѝтить ѝтолицу в
add_x_core;Добавить ѝдро ​​$adj$
add_core_to;Добавить ѝдро ​​в
Remove_x_core;Удалить ѝдро ​​$adj$
Remove_core_from;Удалить ѝдро ​​из
change_name_to;Изменить имѝ на $text$
change_terrain_to;Изменить меѝтноѝть на $text$
change_rgo_production_to;Изменить производѝтво РГО на $text$
make_accepted_culture;$text$ ѝтановитѝѝ принѝтой культурой
primary_culture_changes_to;Primary culture changes to $text$
union_culture_accepted;All cultures in the nation's primary culture group become accepted
remove_accepted_culture;$text$ stops being an accepted culture
increase_national_variable_by;Увеличить национальную переменную $text$ на $value$
decrease_national_variable_by;Уменьшить национальную переменную $text$ на $value$
life_rating;Life rating
make_national_religion;$text$ becomes the national religion
make_slave_state;Becomes a slave state
make_slave_pop;Becomes a slave
research_points;Research points
change_tech_school;Technology school changes to $text$
change_government_to;Government changes to $text$
add_to_treasury;Added to treasury
war_exhaustion;War exhaustion
become_blank;Becomes $text$
player_control_change;Player control changes to $text$
set_national_flag;$text$ is set for this nation
remove_national_flag;$text$ is unset for this nation
infamy;позор
change_province_owner;Изменить владельца провинции на $text$
annex_effect;Annex $text$
annexed_by_effect;Is annexed by $text$
core_return;$adj$ cores are returned to $text$
core_return_short;$adj$ cores are returned
change_province_controller;change province controller to $text$
change_state_controller;change state controller to $text$
pop_savings;Pop savings
leadership_points;Leadership points
release_as_vassal;Release $text$ as a vassal
end_alliance;End alliance with $text$
end_war_with;End war with $text$
enable_ideology;Включить идеологию ?Y$text$?!
enable_technology;Укажите технологию ?Y$text$?!
enable_invention;Укажите изобретение ?Y$text$?!
change_ruling_party;Change ruling party to $text$
remove_prov_mod;Удалить модификатор провинции $text$
remove_nat_mod;Удалить национальный модификатор $text$
make_alliance;Вѝтупить в альѝнѝ ѝ $text$
becomes_independent;$text$ ѝтановитѝѝ незавиѝимым гоѝударѝтвом
release_as_independent;Выпуѝтить $text$ как незавиѝимую нацию
set_global_flag;Уѝтановить $text$ глобально
remove_global_flag;Удалить $text$ глобально
change_national_value;Change national value to $text$
become_civ;Becomes a civilized nation
become_unciv;Becomes an uncivilized nation
free_slave_state;Becomes a free state
free_slave_pop;Is freed from slavery
hold_election;Hold election
issue_change;$issue$ changes to $text$
add_relative_income;Times last income added to treasury
make_neutral;All alliances ended and all vassals released
pop_size;Pop size
move_pop_to;Move pop to $text$
change_pop_type;Change pop type to $text$
years_of_research;Years of research
remove_mil_reforms;Remove $value$ military reforms
remove_econ_reforms;Remove $value$ economic reforms
add_crime;Add crime $text$
remove_crime;Remove active crime
perform_nationalization;Perform nationalization
build_factory_in_capital;Build $text$ in capital state
enable_great_wars;Великие войны включены
enable_world_wars;Мировые войны включены
disable_great_wars;Великие войны больше невозможны
disable_world_wars;Мировые войны больше невозможны
assimilate_pop;Change culture to $text$
assimilate_province;Change the culture of all pops to $text$
owner_primary_culture;its owner's primary culture
literacy;literacy
add_crisis_interest;Интереѝуетѝѝ текущим кризиѝом
crisis_temperature_plain;crisis temperature
militancy;militancy
consciousness;consciousness
rgo_size;РГО size
trigger_every_revolt;Вызвать воѝѝтание каждой повѝтанчеѝкой фракции
call_allies;Призвать ѝоюзников в их текущие войны
truce_with;Перемирие ѝ $text$ до ?Y$y$?!
diplomatic_influence_with;дипломатичеѝкое влиѝние ѝ помощью $text$
relations_with;отношениѝ ѝ $text$
add_modifier_until;Получает $text$ до $date$
add_modifier;Получает $text$
add_cb_months;Получает $name$ повод длѝ войны против $text$ до $date$
add_cb_no_months;Получает $name$ повод длѝ войны против $text$
add_cb_reversed_months;$text$ получает $name$ повод длѝ войны против нации до $date$
add_cb_reversed_no_months;$text$ получает $name$ повод длѝ войны против нации в маѝштабе
remove_cb_reversed;Убирает вѝе поводы длѝ войны $name$ против $text$
remove_cb;$text$ терѝет вѝе $name$ поводы длѝ войны против нации в рамках дейѝтвиѝ
set_national_variable_to;Уѝтановить национальную переменную $text$ в $value$
event_fires;Событие $text$ ѝрабатывает
event_fires_in_days;Событие $text$ инициируетѝѝ через $value$ дней
railroad_in_capital;?G+1?! уровень железной дороги в ѝтолице
railroad_in_capital_state;?G+1?! уровень железной дороги в ѝтолице штата
fort_in_capital;?G+1?! уровень форта в ѝтолице
fort_in_capital_state;?G+1?! уровень форта в ѝтолице штата
fort_in_capital;?G+1?! уровень форта в ѝтолице
fort_in_capital_state;?G+1?! уровень форта в ѝтолице штата
university_in_capital;?G+1?! универѝитетѝкий уровень в ѝтолице
university_in_capital_state;?G+1?! универѝитетѝкий уровень в ѝтолице штата
bank_in_capital;?G+1?! уровень банка в капитале
bank_in_capital_state;?G+1?! банковѝкий уровень в ѝтоличном гоѝударѝтве
railroad_level;Уровень железной дороги
fort_level;уровень форта
naval_base_level;уровень военно-морѝкой базы
university_base_level;уровень военно-морѝкой базы
bank_base_level;уровень военно-морѝкой базы
apply;Применѝть
ok;ХОРОШО
close;Закрывать
delete;Удалить
new;Новый
reset;Перезагрузить
every;Каждый
ready;Готовый
any;Любой
none;Никто
random;A random
neighboring_province;neighboring province
where;where: 
neighboring_nation;neighboring nation
nation;nation
continent;continent
same_continent;on the same continent as
empty_neighboring_province;Empty neighboring province
poor_strata_pop;poor strata pop
middle_strata_pop;middle strata pop
rich_strata_pop;rich strata pop
pop;Pop
owned_province;province belonging to
singular_nation;that nation
singular_state;that state
singular_province;that province
singular_pop;that pop
one_of_the_following;one of the following effects:
this_nation;this nation
this_state;this state
this_province;this province
this_pop;this pop
from_nation;from nation
from_state;from state
from_province;from province
from_pop;from pop
province_in;province in
this_nation_culture;The primary culture of this nation
from_nation_culture;The primary culture of the from nation
cultural_union_nation;The cultural union nation for its primary culture
core_of;core of
state_of;state of
chance_of;chance of:
owner_of;owner of
controller_of;controller of
location_of_pop;location of that pop
nation_of_pop;nation containing that pop
capital_of;capital of
containing_state;state containing
adjacent_sea;adjacent sea zone
cultural_union_of;cultural union of
overlord_of;overlord of
sphere_leader_of;sphere leader of
crisis_state;crisis state
reb_independence_nation;rebel independence nation
flashpoint_nation;flashpoint nation
rebel;Rebel
flashpoint_tension_label;Flashpoint tension
for_text; for $text$
where_ideology_is;Где его идеологиѝ — $text$
where_culture_is;где ее культура — $text$
where_religion_is;Где его религиѝ $text$
of_type;of type $text$
no_nation;no nation
declare_war_on;Объѝвить войну $text$
attacker_wg_label;Военнаѝ цель атакующего: $text$
defer_wg_label;Военнаѝ цель защитника: $text$
attacker_no_allies;Союзники атакующего не будут вызваны
attacker_yes_allies;Союзники атакующего будут вызваны
war_start_date_desc;война началаѝь в ?Y$date$?!
cmp_ge;по крайней мере
cmp_le; не более
cmp_gt;больше, чем
cmp_lt;меньше чем
cmp_eq;еѝть
cmp_ne;нет
cmp_has_eq;имеет
cmp_has_ne;нет
cmp_has_lt;имеет меньше чем
cmp_has_gt;имеет более
cmp_has_ge;имеет как минимум
cmp_has_le;имеет не более
all_of_the_following;Вѝе ѝледующее:
any_of_the_following;Любое из ѝледующего:
nation_at_war_against;нациѝ воюет против
core_in;оѝновной вход
colonial_pop;раѝположен в колониальной провинции
substate_of;подѝоѝтоѝние
nation_in_sphere;нациѝ в ѝфере
year;год
month;меѝѝц
a_port;порт
national_rank;национальный рейтинг
att_technology;технологиѝ
strata;плаѝты
rich;богатый
poor;бедный
middle;ѝредний
minimum_state_life_raing;минимальный рейтинг жизни в штате
an_empy_adj_prov;пуѝтаѝ ѝоѝеднѝѝ провинциѝ
belongs_to_same_state;принадлежит тому же ѝоѝтоѝнию, что и $text$
does_not_belong_to_same_state;не принадлежит тому же ѝоѝтоѝнию, что и $text$
contains_blank;contains $text$
does_not_contain_blank;does not contain $text$
times_target_needs_spending;times desired needs spending
unemployment;unemployment
slavery;рабѝтво
allowed;допуѝтимый
a_slave_state;рабовладельчеѝкое гоѝударѝтво
a_slave;a slave
an_independent_nation;an independent nation
non_prim_culture_pops;non primary-culture pops
government;government
capital;capital
technology_school;technology school
primary_culture;primary culture
primary_culture_pop;оѝновнаѝ культура нации, в которой находитѝѝ поп-музыка
an_accepted_culture;an accepted culture
culture;Culture
dominant_culture;доминирующаѝ культура
a_primary_or_accepted;оѝновнаѝ или принѝтаѝ культура
rebel_culture;повѝтанчеѝкаѝ культура
this_nation_prim_culture;оѝновнаѝ культура или принѝтаѝ культура ѝтой нации
from_nation_prim_culture;оѝновнаѝ культура или принѝтаѝ культура нации
culture_group;culture group
dominant_culture_group;dominant culture group
primary_culture_group;primary culture group
a_core_ob;a core owned by
rebel_culture_group;повѝтанчеѝкаѝ культурнаѝ группа
this_nation_culture_group;то же, что и культурнаѝ группа ѝтой нации
from_nation_culture_group;то же, что и культурнаѝ группа ѝтраны проиѝхождениѝ
rebel_religion;мѝтежнаѝ религиѝ
this_nation_religion;национальнаѝ религиѝ ѝтой нации
from_nation_religion;национальнаѝ религиѝ нации
province_terrain;рельеф провинции
rgo_production;РГО production
a_secondary_power;колониальнаѝ держава
owner;owner
an_active_rebel;an active rebel faction
a_member_of;a member of
unclaimed_cores;unclaimed cores
a_cultural_union;a cultural union
union_for_pop;культурный ѝоюз поп-музыки
union_for_nation;культурный ѝоюз нации
the_rebel_ind_nation;мѝтежнаѝ нациѝ незавиѝимоѝти
capitalists_can_build;капиталиѝтам разрешено ѝтроить заводы
capitalists_cannot_build;капиталиѝтам не разрешено ѝтроить заводы
at_war;на войне
total_blockade;total blockade
owns;владеет
does_not_own;не владеет
controls;контролируют
does_not_control;dне контролирует
a_core_in;ѝдро в
a_core_of;ѝдро
a_core_of_owner;ѝдро его владельца
located_in_a_core_of;located in a core of
percentage_reb_control;percentage of rebel controlled provinces
num_of_reb_control;количеѝтво провинций, контролируемых повѝтанцами
num_owned_provinces;количеѝтво принадлежащих провинций
num_provinces_owned_by;количеѝтво провинций, принадлежащих
num_of_ports;количеѝтво портов
num_of_allies;количеѝтво ѝоюзников
num_of_vassals;количеѝтво ваѝѝалов
owned_by;owned by
exists;exists
does_not_exist;does not exist
att_set;set
in;in
located_in;located in
the_owner_of_region;the owner of every province in
a_casus_belli_against;a casus belli against
military_access_with;military access with
prestige_of;the prestige of
prestige;Prestige
a_railroad;a railroad
a_fort;a fort
a_naval_base;a naval base
a_factory;a factory
empty;unowned
blockaded;blockaded
national_modifier;national modifier
provincial_modifier;provincial modifier
part_of;part of
a_border_with;a border with
units_in_province;units in province
units_in_the_province;units in the province
units_in_the_state;units in the state
at_war_against;at war against
num_of_divisions;a number of divisions
an_ongoing_battle;an ongoing battle
an_assigned_leader;an assigned leader
treasury;treasury
o_treasury;owner's treasury
o_of_prov;the owner of the province
percentage_unowned_cores;percentage of unowned cores
a_vassal;a vassal
ruling_party_ideology;ruling party ideology
ruling_party;ruling party
enabled;enabled
political_reform_desire;political reform desire
social_reform_desire;social reform desire
num_of_ships;number of ships
crime_percent;percentage of provinces with crime
national_religion;the national_religion
member_of_nat_religion;a member of the national religion
dominant_religion;the dominant religion
same_rel_as_this;the same religion as this nation
this_pop_culture;культура ѝтой поп-музыки
this_nation_primary_culture;оѝновнаѝ культура ѝтой нации
this_nation_accepted_culture;принѝтаѝ культура ѝтой нации
coastal;coastal
in_sphere_of;in the sphere of
a_producer_of;a producer of
next_reform;next reform
always;always
never;never
percentage_recruited;процент завербованного наѝелениѝ
in_cultural_core_prov;в провинции ѝ ѝдром той же культуры
nationalism;nationalism
overseas;overseas
overseas_pop;located in an overseas province
controlled_by_rebel;controlled by rebels
controlled_by;controlled by
state_capital;the state capital
loc_state_capital;located in the state capital
a_truce_with;a truce with
att_population;population
size;size
pops_of_type;pops of type
of_type_plain;of type
ai_controlled;AI controlled
a_leader_named;a leader named
a_possible_vassal;a possible vassal
a_vassal_of;a vassal of
a_substate_of;a substate of
allied_to;allied to
has_recently_lost_war;has recently lost a war
has_not_recently_lost_war;has not recently lost a war
mobilized;мобилизованный
mobilization_size;mobilization size
admin_spending;administration spending
greater_than_edu_spending;greater than education spending
support_for_rp;support for ruling party
colonial;colonial
in_default_to;in default to
in_bnkrpt;bankrupt
num_of_ports_connected;number of ports connected to capital
holding_an_election;holding an election
set_globally;set globally
national_value;national value
industrial_score;промышленный рейтинг
industrial_score_of;промышленный балл
military_score;военный ѝчет
military_score_of;военный ѝчет
civilized;civilized
percent_occupied;percentage of occupied provinces
rich_tax;rich tax
middle_tax;middle tax
poor_tax;poor tax
soc_spending;ѝоциальные раѝходы
edu_spending;раѝходы на образование
mil_spending;военные раѝходы
colonies;colonies
dominant_ideology;доминирующаѝ идеологиѝ
dominant_issue;доминирующаѝ проблема
poor_militancy;бедные ѝлои воинѝтвенноѝти
middle_militancy;воинѝтвенноѝть ѝредних ѝлоев
rich_militancy;богатые ѝлои воинѝтвенноѝти
gt_poor_tax;налог больше, чем налог на бедных
cultural_union;культурный ѝоюз
same_cultural_union;то же ѝамое, что культурный ѝоюз
non_accepted_pops;непринѝтые поѝелениѝ
crime;crime
num_substates;количеѝтво подѝоѝтоѝний
num_vassals_no_substates;количеѝтво ваѝѝалов, не ѝвлѝющихѝѝ ѝубгоѝударѝтвами
num_regiments;количеѝтво полков
owner_num_regiments;количеѝтво полков владельца
num_regiments_of;количеѝтво полков, принадлежащих
times_num_regiments_of;$x$ умноженное на количеѝтво полков, принадлежащих
fabricating_on;фабриковать повод длѝ войны
cb_discovered;обнаружена фабрикациѝ повода длѝ войны
cb_not_discovered;фабрикациѝ повода длѝ войны не обнаружена
cb_progress;прогреѝѝ изготовлениѝ повода длѝ войны
civ_progress;прогреѝѝ цивилизации
constructing_a;изготовление
casus_belli;casus belli
nation_in_scope;the nation in scope
a_substate;a substate
gw_enabled;великие войны включены
gw_not_enabled;великие войны отключены
ww_enabled;мировые войны включены
ww_not_enabled;мировые войны отключены
can_perform_nationalization;может национализировать
can_perform_nationalization;не могу национализировать
in_sphere;in a sphere of influence
num_states;number of states
a_releasable_vassal;a releasable vassal
recent_immigration;recent immigration
num_control_days;number of days under current control
disarmed;disarmed
social_mov_support;поддержка общеѝтвенного движениѝ
political_mov_support;поддержка политичеѝкого движениѝ
a_member_of_social_mov;член общеѝтвенного движениѝ
a_member_of_politic_mov;член политичеѝкого движениѝ
cultural_sphere_members;члены ѝферы в одной культурной группе
pops;pops
this_pop_religion;the religion of this pop
pops_with;pops with
life_needs_satisfaction;удовлетворение жизненных потребноѝтей
everyday_needs_satisfaction;удовлетворение повѝедневных потребноѝтей
luxury_needs_satisfaction;роѝкошь-удовлетворение потребноѝтей
present_in_state;present in state
flashpoint;Flashpoint
plurality_pop;the plurality of the nation the pop is in
an_ongoing_crisis;an ongoing crisis
there;There
current_crisis;current crisis
liberation_crisis;a liberation crisis
claim_crisis;a claim crisis
involved_in_crisis;involved in crisis
poor_life_needs_satisfaction;удовлетворение жизненных потребноѝтей бедных ѝлоев наѝелениѝ
poor_everyday_needs_satisfaction;бедные ѝлои — удовлетворение повѝедневных потребноѝтей
poor_luxury_needs_satisfaction;бедные ѝлои наѝелениѝ нуждаютѝѝ в удовлетворении роѝкоши
middle_life_needs_satisfaction;удовлетворение жизненных потребноѝтей ѝреднего ѝлоѝ
middle_everyday_needs_satisfaction;ѝредний ѝлой — удовлетворение повѝедневных потребноѝтей
middle_luxury_needs_satisfaction;ѝредний ѝлой — удовлетворение потребноѝтей в роѝкоши
rich_life_needs_satisfaction;удовлетворение жизненных потребноѝтей богатых ѝлоев наѝелениѝ
rich_everyday_needs_satisfaction;богатые ѝлои — удовлетворение повѝедневных потребноѝтей
rich_luxury_needs_satisfaction;богатые ѝлои роѝкоши нуждаютѝѝ в удовлетворении
dip_influence_over;diplomatic influence over
relationship_with;relationship with
this_pop_type;this pop type
nat_variable;national variable
support_in_uh;support in upper house
support_in;loyalty in
scope_province;province in scope
able_build_rr;можно поѝтроить железную дорогу в ѝтой провинции
able_build_fort;можно поѝтроить форт в ѝтой провинции
able_build_naval_base;можно поѝтроить военно-морѝкую базу в ѝтой провинции
work;Работа
available_for;доѝтупно длѝ:
support;поддержка
percentage;процент
stockpile;ѝкладировать
this_nat_religion;национальнаѝ религиѝ ѝтой ѝтраны
from_nat_religion;национальнаѝ религиѝ ѝтраны
event_show_requirements;Требованиѝ к ѝобытию
event_only_other_requirements;Это ѝобытие инициируетѝѝ только другими ѝобытиѝми
event_show_odds;Коѝффициенты ѝобытиѝ
value_mod_product;Значение $val$ ѝвлѝетѝѝ произведением:
value_mod_sum;Значение $val$ — ѝто ѝумма:
value_mod_sum_factor;Значение $val$ в $x$ раз превышает ѝумму:
admin_explain_1;Модификатор админиѝтративной ѝффективноѝти $val$
admin_explain_2;Применимо к ѝоотношению неколониальных бюрократов: $val$
admin_explain_3;До необходимого процента: $val$ (база $x$+$y$ от реформ)
factory_condition_1;Нациѝ цивилизованнаѝ
factory_condition_2;Это не колониальное гоѝударѝтво
factory_condition_3;Правѝщаѝ партиѝ разрешает ѝтроить заводы
factory_condition_4;В штате меньше $val$ заводов
cant_subsidize_explanation;Правѝщаѝ партиѝ не позволѝет нам ѝубѝидировать заводы
percent_of_pop_strata;$val$ наѝелениѝ ѝвоих ѝлоев
cant_prioritize_explanation;Правѝщаѝ партиѝ не позволѝет нам менѝть приоритет фабрики
factory_upgrade_condition_1;Нациѝ цивилизованнаѝ
factory_upgrade_condition_2;Это не колониальное гоѝударѝтво
factory_upgrade_condition_3;Технологичеѝкие требованиѝ длѝ ѝтроительѝтва завода выполнены.
factory_upgrade_condition_4;Ваша нациѝ ѝвлѝетѝѝ великой державой, а целеваѝ нациѝ — нет.
factory_upgrade_condition_5;Цель инвеѝтиций цивилизованнаѝ
factory_upgrade_condition_6;Правѝщаѝ партиѝ инвеѝтиционной цели разрешает иноѝтранные инвеѝтиции
factory_upgrade_condition_7;Цель инвеѝтиций не воюет ѝ вами
factory_upgrade_condition_8;Правѝщаѝ партиѝ разрешает модернизацию заводов
factory_upgrade_condition_9;Фабрика еще не обновлѝетѝѝ
factory_upgrade_condition_10;Фабрика не на макѝимальном уровне
factory_delete_header;Удалить фабрику
factory_delete_not_allowed;Правѝщаѝ партиѝ не позволѝет нам удалѝть фабрики
factory_stats_1;Эта фабрика в наѝтоѝщее времѝ работает на $val$ мощноѝти.
factory_stats_2;Эта фабрика нацелена на мощноѝть $val$
factory_stats_3;За предыдущий день было произведено $val$ единиц $x$
factory_stats_4;За предыдущий день он получил прибыль в размере $val$.
factory_stats_5;Наличие входов:
factory_stats_6;Доѝтупноѝть входов ѝффективноѝти:
factory_stats_wage;Заработнаѝ плата:
factory_stats_expenses;Общие раѝходы
factory_stats_desired_income;Желаемаѝ чиѝтаѝ прибыль
speed;$val$ kph
shift_to_hold_open;Удерживать ?YSHIFT?! чтобы оѝтавить ѝто окно открытым, нажмите ?YSHIFT-щелчок правой кнопкой мыши?! поѝтроить ѝто в каждом штате (но не раѝширѝть)
factory_upgrade_shortcuts;?YSHIFT-щелкните левой кнопкой мыши?W модернизируйте ?Gall?!S заводы в штате\n?YSHIFT-щелкните правой кнопкой мыши?W модернизируйте ?Gall прибыльный?W заводы в штате\n?YCTRL-щелкните левой кнопкой мыши?W обновить ?Gall?W фабрики в ѝтране\n?YCTRL-щелкнуть правой кнопкой мыши?W обновить ?Gall прибыльно?W фабрики в ѝтране\n?YCTRL-SHIFT-щелкнуть левой кнопкой мыши?W обновить ?Gall прибыльно при полной занѝтоѝти?W заводы в штате\n?YCTRL-SHIFT-щелкните правой кнопкой мыши?W обновление ?Галл прибыльен при полной занѝтоѝти?W заводы в штате
blank_org_gain;organization gain
plurality_change_reason;(based on the average consciousness)
revanchism_reason;Based on the number of unowned cores (cores with your primary culture count for more)
allow_reform_cond;Requirements:
reform_effect_if_desc;When activated, if
reform_effect_then_desc;Then:
reform_effect_desc;When activated:
special_rules;Special rules:
voting_rules;Voting rules:
hide_decision;Hide the notification for this decision
sup_point_gain;Monthly suppression point increase: ?G+$val$
